operation_id,batch_id,batch_index,batches_in_order,order_id,product_id,product_family,demand_type,stage_index,stage_name,work_center_id,machine_id,quantity,order_quantity,input_quantity,start_minute,end_minute,start_time,end_time,duration_minutes,run_minutes,setup_minutes,nominal_yield,priority,due_date,source,batching_policy
STOCK_TRES_STOCK-B01_03_LACK,STOCK_TRES_STOCK-B01,1,3,STOCK_TRES_STOCK,TRES_STOCK,TRES,STOCK_ORDER,3,Lack,LACK,LACK,437,1310,456,165,237,2026-05-25 08:45:00,2026-05-25 09:57:00,72,57,15,0.96,2,2026-05-29 22:00:00,inventory_policy,split_by_max_batch_size
C002-B01_03_LACK,C002-B01,1,3,C002,SPORT_OAK,SPORT_OAK,CUSTOMER_ORDER,3,Lack,LACK,LACK,267,799,297,300,380,2026-05-25 11:00:00,2026-05-25 12:20:00,80,57,23,0.9,6,2026-05-26 14:00:00,customer,split_by_max_batch_size
C002-B02_03_LACK,C002-B02,2,3,C002,SPORT_OAK,SPORT_OAK,CUSTOMER_ORDER,3,Lack,LACK,LACK,266,799,296,421,501,2026-05-25 13:01:00,2026-05-25 14:21:00,80,57,23,0.9,6,2026-05-26 14:00:00,customer,split_by_max_batch_size
C002-B03_03_LACK,C002-B03,3,3,C002,SPORT_OAK,SPORT_OAK,CUSTOMER_ORDER,3,Lack,LACK,LACK,266,799,296,542,622,2026-05-25 15:02:00,2026-05-25 16:22:00,80,57,23,0.9,6,2026-05-26 14:00:00,customer,split_by_max_batch_size
C010-B01_03_LACK,C010-B01,1,3,C010,SPORT_OAK,SPORT_OAK,CUSTOMER_ORDER,3,Lack,LACK,LACK,247,739,275,657,733,2026-05-25 16:57:00,2026-05-25 18:13:00,76,53,23,0.9,6,2026-05-26 14:00:00,customer,split_by_max_batch_size
C010-B02_03_LACK,C010-B02,2,3,C010,SPORT_OAK,SPORT_OAK,CUSTOMER_ORDER,3,Lack,LACK,LACK,246,739,274,772,848,2026-05-25 18:52:00,2026-05-25 20:08:00,76,53,23,0.9,6,2026-05-26 14:00:00,customer,split_by_max_batch_size
C010-B03_03_LACK,C010-B03,3,3,C010,SPORT_OAK,SPORT_OAK,CUSTOMER_ORDER,3,Lack,LACK,LACK,246,739,274,1440,1516,2026-05-26 06:00:00,2026-05-26 07:16:00,76,53,23,0.9,6,2026-05-26 14:00:00,customer,split_by_max_batch_size
C007-B01_03_LACK,C007-B01,1,2,C007,SHADE_EK,OAK_SHADE,PRIORITY_CUSTOMER_ORDER,3,Lack,LACK,LACK,172,344,187,1551,1602,2026-05-26 07:51:00,2026-05-26 08:42:00,51,31,20,0.92,10,2026-05-26 16:00:00,customer,split_by_max_batch_size
C007-B02_03_LACK,C007-B02,2,2,C007,SHADE_EK,OAK_SHADE,PRIORITY_CUSTOMER_ORDER,3,Lack,LACK,LACK,172,344,187,1627,1678,2026-05-26 09:07:00,2026-05-26 09:58:00,51,31,20,0.92,10,2026-05-26 16:00:00,customer,split_by_max_batch_size
C003-B01_03_LACK,C003-B01,1,2,C003,SHADE_EK,OAK_SHADE,PRIORITY_CUSTOMER_ORDER,3,Lack,LACK,LACK,186,372,203,1707,1760,2026-05-26 10:27:00,2026-05-26 11:20:00,53,33,20,0.92,10,2026-05-29 08:00:00,customer,split_by_max_batch_size
